country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Afghanistan,AF,AFG,4,Out-of-school rate for youth of upper secondary school age (administrative data),2018,68.68825,Female,,%,,,,Total
Afghanistan,AF,AFG,4,Out-of-school rate for youth of upper secondary school age (administrative data),2018,43.78052,Male,,%,,,,Total
Afghanistan,AF,AFG,4,Out-of-school rate for youth of upper secondary school age (administrative data),2018,55.89854,Total,,%,,,,Total
Albania,AL,ALB,8,Out-of-school rate for youth of upper secondary school age (administrative data),2020,15.10066,Female,,%,,,,Total
Albania,AL,ALB,8,Out-of-school rate for youth of upper secondary school age (administrative data),2020,21.92466,Male,,%,,,,Total
Albania,AL,ALB,8,Out-of-school rate for youth of upper secondary school age (administrative data),2020,18.74204,Total,,%,,,,Total
Anguilla,AI,AIA,660,Out-of-school rate for youth of upper secondary school age (administrative data),2019,4.33056,Total,,%,,,,Total
Antigua and Barbuda,AG,ATG,28,Out-of-school rate for youth of upper secondary school age (administrative data),2019,13.39031,Female,,%,,,,Total
Antigua and Barbuda,AG,ATG,28,Out-of-school rate for youth of upper secondary school age (administrative data),2019,12.00279,Male,,%,,,,Total
Antigua and Barbuda,AG,ATG,28,Out-of-school rate for youth of upper secondary school age (administrative data),2019,12.68946,Total,,%,,,,Total
Argentina,AR,ARG,32,Out-of-school rate for youth of upper secondary school age (administrative data),2019,6.61321,Female,,%,,,,Total
Argentina,AR,ARG,32,Out-of-school rate for youth of upper secondary school age (administrative data),2019,14.56729,Male,,%,,,,Total
Argentina,AR,ARG,32,Out-of-school rate for youth of upper secondary school age (administrative data),2019,10.65845,Total,,%,,,,Total
Armenia,AM,ARM,51,Out-of-school rate for youth of upper secondary school age (administrative data),2020,1.435,Female,,%,,,,Total
Armenia,AM,ARM,51,Out-of-school rate for youth of upper secondary school age (administrative data),2020,13.18625,Male,,%,,,,Total
Armenia,AM,ARM,51,Out-of-school rate for youth of upper secondary school age (administrative data),2020,7.72412,Total,,%,,,,Total
Australia,AU,AUS,36,Out-of-school rate for youth of upper secondary school age (administrative data),2020,5.5268,Female,,%,,,,Total
Australia,AU,AUS,36,Out-of-school rate for youth of upper secondary school age (administrative data),2020,8.854,Male,,%,,,,Total
Australia,AU,AUS,36,Out-of-school rate for youth of upper secondary school age (administrative data),2020,7.23036,Total,,%,,,,Total
Austria,AT,AUT,40,Out-of-school rate for youth of upper secondary school age (administrative data),2019,8.99559,Female,,%,,,,Total
Austria,AT,AUT,40,Out-of-school rate for youth of upper secondary school age (administrative data),2019,10.51243,Male,,%,,,,Total
Austria,AT,AUT,40,Out-of-school rate for youth of upper secondary school age (administrative data),2019,9.77608,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Out-of-school rate for youth of upper secondary school age (administrative data),2020,0.1708,Female,,%,,,,Total
Azerbaijan,AZ,AZE,31,Out-of-school rate for youth of upper secondary school age (administrative data),2020,0.12584,Male,,%,,,,Total
Azerbaijan,AZ,AZE,31,Out-of-school rate for youth of upper secondary school age (administrative data),2020,0.14683,Total,,%,,,,Total
Bahrain,BH,BHR,48,Out-of-school rate for youth of upper secondary school age (administrative data),2019,6.34636,Female,,%,,,,Total
Bahrain,BH,BHR,48,Out-of-school rate for youth of upper secondary school age (administrative data),2019,18.12214,Male,,%,,,,Total
Bahrain,BH,BHR,48,Out-of-school rate for youth of upper secondary school age (administrative data),2019,12.71451,Total,,%,,,,Total
Bangladesh,BD,BGD,50,Out-of-school rate for youth of upper secondary school age (administrative data),2020,33.4591,Female,,%,,,,Total
Bangladesh,BD,BGD,50,Out-of-school rate for youth of upper secondary school age (administrative data),2020,40.16995,Male,,%,,,,Total
Bangladesh,BD,BGD,50,Out-of-school rate for youth of upper secondary school age (administrative data),2020,36.89385,Total,,%,,,,Total
Barbados,BB,BRB,52,Out-of-school rate for youth of upper secondary school age (administrative data),2020,4.24077,Female,,%,,,,Total
Barbados,BB,BRB,52,Out-of-school rate for youth of upper secondary school age (administrative data),2020,7.9036,Male,,%,,,,Total
Barbados,BB,BRB,52,Out-of-school rate for youth of upper secondary school age (administrative data),2020,6.12191,Total,,%,,,,Total
Belarus,BY,BLR,112,Out-of-school rate for youth of upper secondary school age (administrative data),2020,4.58753,Female,,%,,,,Total
Belarus,BY,BLR,112,Out-of-school rate for youth of upper secondary school age (administrative data),2020,7.7514,Male,,%,,,,Total
Belarus,BY,BLR,112,Out-of-school rate for youth of upper secondary school age (administrative data),2020,6.21312,Total,,%,,,,Total
Belgium,BE,BEL,56,Out-of-school rate for youth of upper secondary school age (administrative data),2019,1.96315,Female,,%,,,,Total
Belgium,BE,BEL,56,Out-of-school rate for youth of upper secondary school age (administrative data),2019,2.2207,Male,,%,,,,Total
Belgium,BE,BEL,56,Out-of-school rate for youth of upper secondary school age (administrative data),2019,2.09523,Total,,%,,,,Total
Belize,BZ,BLZ,84,Out-of-school rate for youth of upper secondary school age (administrative data),2020,27.73354,Female,,%,,,,Total
Belize,BZ,BLZ,84,Out-of-school rate for youth of upper secondary school age (administrative data),2020,34.78694,Male,,%,,,,Total
Belize,BZ,BLZ,84,Out-of-school rate for youth of upper secondary school age (administrative data),2020,31.28569,Total,,%,,,,Total
Benin,BJ,BEN,204,Out-of-school rate for youth of upper secondary school age (administrative data),2020,68.90571,Female,,%,,,,Total
Benin,BJ,BEN,204,Out-of-school rate for youth of upper secondary school age (administrative data),2020,58.68436,Male,,%,,,,Total
Benin,BJ,BEN,204,Out-of-school rate for youth of upper secondary school age (administrative data),2020,63.73174,Total,,%,,,,Total
Bhutan,BT,BTN,64,Out-of-school rate for youth of upper secondary school age (administrative data),2018,22.34422,Female,,%,,,,Total
Bhutan,BT,BTN,64,Out-of-school rate for youth of upper secondary school age (administrative data),2018,32.77808,Male,,%,,,,Total
Bhutan,BT,BTN,64,Out-of-school rate for youth of upper secondary school age (administrative data),2018,27.71668,Total,,%,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,Out-of-school rate for youth of upper secondary school age (administrative data),2020,21.50324,Female,,%,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,Out-of-school rate for youth of upper secondary school age (administrative data),2020,22.11464,Male,,%,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,Out-of-school rate for youth of upper secondary school age (administrative data),2020,21.81521,Total,,%,,,,Total
Bosnia and Herzegovina,BA,BIH,70,Out-of-school rate for youth of upper secondary school age (administrative data),2020,16.77155,Female,,%,,,,Total
Bosnia and Herzegovina,BA,BIH,70,Out-of-school rate for youth of upper secondary school age (administrative data),2020,20.26935,Male,,%,,,,Total
Bosnia and Herzegovina,BA,BIH,70,Out-of-school rate for youth of upper secondary school age (administrative data),2020,18.55448,Total,,%,,,,Total
Botswana,BW,BWA,72,Out-of-school rate for youth of upper secondary school age (administrative data),2017,18.14047,Female,,%,,,,Total
Botswana,BW,BWA,72,Out-of-school rate for youth of upper secondary school age (administrative data),2017,21.39566,Male,,%,,,,Total
Botswana,BW,BWA,72,Out-of-school rate for youth of upper secondary school age (administrative data),2017,19.78289,Total,,%,,,,Total
Brazil,BR,BRA,76,Out-of-school rate for youth of upper secondary school age (administrative data),2019,14.31466,Female,,%,,,,Total
Brazil,BR,BRA,76,Out-of-school rate for youth of upper secondary school age (administrative data),2019,15.63811,Male,,%,,,,Total
Brazil,BR,BRA,76,Out-of-school rate for youth of upper secondary school age (administrative data),2019,14.99522,Total,,%,,,,Total
"Virgin Islands, British",VG,VGB,92,Out-of-school rate for youth of upper secondary school age (administrative data),2016,15.88785,Female,,%,,,,Total
"Virgin Islands, British",VG,VGB,92,Out-of-school rate for youth of upper secondary school age (administrative data),2016,24.09091,Male,,%,,,,Total
"Virgin Islands, British",VG,VGB,92,Out-of-school rate for youth of upper secondary school age (administrative data),2016,19.81567,Total,,%,,,,Total
Brunei,BN,BRN,96,Out-of-school rate for youth of upper secondary school age (administrative data),2020,13.89732,Female,,%,,,,Total
Brunei,BN,BRN,96,Out-of-school rate for youth of upper secondary school age (administrative data),2020,19.44836,Male,,%,,,,Total
Brunei,BN,BRN,96,Out-of-school rate for youth of upper secondary school age (administrative data),2020,16.74752,Total,,%,,,,Total
Bulgaria,BG,BGR,100,Out-of-school rate for youth of upper secondary school age (administrative data),2019,17.75904,Female,,%,,,,Total
Bulgaria,BG,BGR,100,Out-of-school rate for youth of upper secondary school age (administrative data),2019,13.61654,Male,,%,,,,Total
Bulgaria,BG,BGR,100,Out-of-school rate for youth of upper secondary school age (administrative data),2019,15.62083,Total,,%,,,,Total
Burkina Faso,BF,BFA,854,Out-of-school rate for youth of upper secondary school age (administrative data),2020,65.72184,Female,,%,,,,Total
Burkina Faso,BF,BFA,854,Out-of-school rate for youth of upper secondary school age (administrative data),2020,68.34481,Male,,%,,,,Total
Burkina Faso,BF,BFA,854,Out-of-school rate for youth of upper secondary school age (administrative data),2020,67.05887,Total,,%,,,,Total
Burundi,BI,BDI,108,Out-of-school rate for youth of upper secondary school age (administrative data),2021,59.00851,Female,,%,,,,Total
Burundi,BI,BDI,108,Out-of-school rate for youth of upper secondary school age (administrative data),2021,64.59746,Male,,%,,,,Total
Burundi,BI,BDI,108,Out-of-school rate for youth of upper secondary school age (administrative data),2021,61.80563,Total,,%,,,,Total
Cape Verde,CV,CPV,132,Out-of-school rate for youth of upper secondary school age (administrative data),2019,23.95588,Female,,%,,,,Total
Cape Verde,CV,CPV,132,Out-of-school rate for youth of upper secondary school age (administrative data),2019,29.26878,Male,,%,,,,Total
Cape Verde,CV,CPV,132,Out-of-school rate for youth of upper secondary school age (administrative data),2019,26.62177,Total,,%,,,,Total
Cambodia,KH,KHM,116,Out-of-school rate for youth of upper secondary school age (administrative data),2020,56.28691,Female,,%,,,,Total
Cambodia,KH,KHM,116,Out-of-school rate for youth of upper secondary school age (administrative data),2020,53.84366,Male,,%,,,,Total
Cambodia,KH,KHM,116,Out-of-school rate for youth of upper secondary school age (administrative data),2020,55.06271,Total,,%,,,,Total
Cameroon,CM,CMR,120,Out-of-school rate for youth of upper secondary school age (administrative data),2015,58.44663,Female,,%,,,,Total
Cameroon,CM,CMR,120,Out-of-school rate for youth of upper secondary school age (administrative data),2015,49.7123,Male,,%,,,,Total
Cameroon,CM,CMR,120,Out-of-school rate for youth of upper secondary school age (administrative data),2015,54.05766,Total,,%,,,,Total
Canada,CA,CAN,124,Out-of-school rate for youth of upper secondary school age (administrative data),2019,12.03281,Female,,%,,,,Total
Canada,CA,CAN,124,Out-of-school rate for youth of upper secondary school age (administrative data),2019,11.72597,Male,,%,,,,Total
Canada,CA,CAN,124,Out-of-school rate for youth of upper secondary school age (administrative data),2019,11.87547,Total,,%,,,,Total
Central African Republic,CF,CAF,140,Out-of-school rate for youth of upper secondary school age (administrative data),2017,85.82162,Female,,%,,,,Total
Central African Republic,CF,CAF,140,Out-of-school rate for youth of upper secondary school age (administrative data),2017,76.06094,Male,,%,,,,Total
Central African Republic,CF,CAF,140,Out-of-school rate for youth of upper secondary school age (administrative data),2017,80.93191,Total,,%,,,,Total
Chad,TD,TCD,148,Out-of-school rate for youth of upper secondary school age (administrative data),2019,85.14036,Female,,%,,,,Total
Chad,TD,TCD,148,Out-of-school rate for youth of upper secondary school age (administrative data),2019,70.59798,Male,,%,,,,Total
Chad,TD,TCD,148,Out-of-school rate for youth of upper secondary school age (administrative data),2019,77.85227,Total,,%,,,,Total
Chile,CL,CHL,152,Out-of-school rate for youth of upper secondary school age (administrative data),2019,4.89784,Female,,%,,,,Total
Chile,CL,CHL,152,Out-of-school rate for youth of upper secondary school age (administrative data),2019,4.52346,Male,,%,,,,Total
Chile,CL,CHL,152,Out-of-school rate for youth of upper secondary school age (administrative data),2019,4.70747,Total,,%,,,,Total
Colombia,CO,COL,170,Out-of-school rate for youth of upper secondary school age (administrative data),2020,15.63901,Female,,%,,,,Total
Colombia,CO,COL,170,Out-of-school rate for youth of upper secondary school age (administrative data),2020,18.05569,Male,,%,,,,Total
Colombia,CO,COL,170,Out-of-school rate for youth of upper secondary school age (administrative data),2020,16.87307,Total,,%,,,,Total
Comoros,KM,COM,174,Out-of-school rate for youth of upper secondary school age (administrative data),2018,48.13952,Female,,%,,,,Total
Comoros,KM,COM,174,Out-of-school rate for youth of upper secondary school age (administrative data),2018,51.54992,Male,,%,,,,Total
Comoros,KM,COM,174,Out-of-school rate for youth of upper secondary school age (administrative data),2018,49.87252,Total,,%,,,,Total
Cook Islands,CK,COK,184,Out-of-school rate for youth of upper secondary school age (administrative data),2020,21.5736,Female,,%,,,,Total
Cook Islands,CK,COK,184,Out-of-school rate for youth of upper secondary school age (administrative data),2020,34.25,Male,,%,,,,Total
Cook Islands,CK,COK,184,Out-of-school rate for youth of upper secondary school age (administrative data),2020,27.9597,Total,,%,,,,Total
Costa Rica,CR,CRI,188,Out-of-school rate for youth of upper secondary school age (administrative data),2020,7.08991,Female,,%,,,,Total
Costa Rica,CR,CRI,188,Out-of-school rate for youth of upper secondary school age (administrative data),2020,9.45661,Male,,%,,,,Total
Costa Rica,CR,CRI,188,Out-of-school rate for youth of upper secondary school age (administrative data),2020,8.30011,Total,,%,,,,Total
Croatia,HR,HRV,191,Out-of-school rate for youth of upper secondary school age (administrative data),2019,10.02749,Female,,%,,,,Total
Croatia,HR,HRV,191,Out-of-school rate for youth of upper secondary school age (administrative data),2019,14.4147,Male,,%,,,,Total
Croatia,HR,HRV,191,Out-of-school rate for youth of upper secondary school age (administrative data),2019,12.28074,Total,,%,,,,Total
Cuba,CU,CUB,192,Out-of-school rate for youth of upper secondary school age (administrative data),2020,12.41908,Female,,%,,,,Total
Cuba,CU,CUB,192,Out-of-school rate for youth of upper secondary school age (administrative data),2020,16.47668,Male,,%,,,,Total
